Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Pamplona (Norte de Santander); 2.208 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Pereira, La 41; 2.250 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Pereira, Mercasa; 2.303 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Rionegro (Antioquia); 1.778 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Santa Marta (Magdalena); 2.573 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Sincelejo, Nuevo Mercado; 1.580 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Tibasosa (Boyacá), Coomproriente; 1.255 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Tuluá (Valle del Cauca); 2.106 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Tunja, Complejo de Servicios del Sur; 1.161 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Valledupar, Mercabastos; 2.123 ;;
ene-23;VERDURAS Y HORTALIZAS;Apio;Villavicencio, CAV; 2.067 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Arauca (Arauca); 6.806 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Armenia, Mercar; 5.108 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Barranquilla, Barranquillita; 10.033 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Barranquilla, Granabastos; 9.046 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Bogotá, D.C., Corabastos; 6.134 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Bucaramanga, Centroabastos; 5.473 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Cartago (Valle del Cauca); 5.123 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Chiquinquirá (Boyacá); 5.533 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Cúcuta, Cenabastos; 7.238 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Duitama (Boyacá), Mercaplaza; 5.450 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;El Carmen de Viboral (Antioquia); 5.781 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;El Santuario (Antioquia); 5.504 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Ibagué, Plaza La 21; 4.601 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;La Ceja (Antioquia); 6.031 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Manizales, Centro Galerías; 5.404 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Medellín, Central Mayorista de Antioquia; 5.440 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;"Medellín, Plaza Minorista ""José María Villa"""; 6.111 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Neiva, Surabastos; 4.895 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Palmira (Valle del Cauca); 4.228 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Pamplona (Norte de Santander); 5.745 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Pereira, La 41; 4.873 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Pereira, Mercasa; 4.824 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Rionegro (Antioquia); 6.082 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;San Gil (Santander); 6.393 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;San Vicente (Antioquia); 5.867 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Socorro (Santander); 6.150 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Sonsón (Antioquia); 4.531 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Tibasosa (Boyacá), Coomproriente; 5.475 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Tuluá (Valle del Cauca); 4.716 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Tunja, Complejo de Servicios del Sur; 4.995 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Villavicencio, CAV; 5.773 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Yopal (Casanare); 6.089 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Bogotá, D.C., Corabastos; 5.143 ;;
